Facility,day1,count
DOE Library,2018-01-14T00:00:00Z,43
DOE Library,2018-01-15T00:00:00Z,63
DOE Library,2018-01-16T00:00:00Z,3589
DOE Library,2018-01-17T00:00:00Z,3701
DOE Library,2018-01-18T00:00:00Z,3396
DOE Library,2018-01-19T00:00:00Z,3114
DOE Library,2018-01-20T00:00:00Z,1271
DOE Library,2018-01-21T00:00:00Z,1157
DOE Library,2018-01-22T00:00:00Z,3717
DOE Library,2018-01-23T00:00:00Z,3557
DOE Library,2018-01-24T00:00:00Z,3531
DOE Library,2018-01-25T00:00:00Z,3734
DOE Library,2018-01-26T00:00:00Z,3122
DOE Library,2018-01-27T00:00:00Z,1516
DOE Library,2018-01-28T00:00:00Z,1467
DOE Library,2018-01-29T00:00:00Z,3924
DOE Library,2018-01-30T00:00:00Z,3498
DOE Library,2018-01-31T00:00:00Z,3770
DOE Library,2018-02-01T00:00:00Z,3482
DOE Library,2018-02-02T00:00:00Z,2840
DOE Library,2018-02-03T00:00:00Z,1629
DOE Library,2018-02-04T00:00:00Z,1033
DOE Library,2018-02-05T00:00:00Z,3671
DOE Library,2018-02-06T00:00:00Z,3640
DOE Library,2018-02-07T00:00:00Z,3703
DOE Library,2018-02-08T00:00:00Z,3796
DOE Library,2018-02-09T00:00:00Z,3188
DOE Library,2018-02-10T00:00:00Z,1713
DOE Library,2018-02-11T00:00:00Z,1541
DOE Library,2018-02-12T00:00:00Z,3922
DOE Library,2018-02-13T00:00:00Z,3685
DOE Library,2018-02-14T00:00:00Z,3494
DOE Library,2018-02-15T00:00:00Z,3573
DOE Library,2018-02-16T00:00:00Z,2920
DOE Library,2018-02-17T00:00:00Z,1727
DOE Library,2018-02-18T00:00:00Z,1731
DOE Library,2018-02-19T00:00:00Z,55
DOE Library,2018-02-20T00:00:00Z,3810
DOE Library,2018-02-21T00:00:00Z,3770
DOE Library,2018-02-22T00:00:00Z,3635
DOE Library,2018-02-23T00:00:00Z,3305
DOE Library,2018-02-24T00:00:00Z,1604
DOE Library,2018-02-25T00:00:00Z,1375
DOE Library,2018-02-26T00:00:00Z,3604
DOE Library,2018-02-27T00:00:00Z,3479
DOE Library,2018-02-28T00:00:00Z,3631
DOE Library,2018-03-01T00:00:00Z,3206
DOE Library,2018-03-02T00:00:00Z,2760
DOE Library,2018-03-03T00:00:00Z,1315
DOE Library,2018-03-04T00:00:00Z,1376
DOE Library,2018-03-05T00:00:00Z,3493
DOE Library,2018-03-06T00:00:00Z,3558
DOE Library,2018-03-07T00:00:00Z,3456
DOE Library,2018-03-08T00:00:00Z,3208
DOE Library,2018-03-09T00:00:00Z,3316
DOE Library,2018-03-10T00:00:00Z,1442
DOE Library,2018-03-11T00:00:00Z,1656
DOE Library,2018-03-12T00:00:00Z,3557
DOE Library,2018-03-13T00:00:00Z,3478
DOE Library,2018-03-14T00:00:00Z,3578
DOE Library,2018-03-15T00:00:00Z,3740
DOE Library,2018-03-16T00:00:00Z,3610
DOE Library,2018-03-17T00:00:00Z,1514
DOE Library,2018-03-18T00:00:00Z,1832
DOE Library,2018-03-19T00:00:00Z,3998
DOE Library,2018-03-20T00:00:00Z,3558
DOE Library,2018-03-21T00:00:00Z,3542
DOE Library,2018-03-22T00:00:00Z,3157
DOE Library,2018-03-23T00:00:00Z,2729
DOE Library,2018-03-24T00:00:00Z,51
DOE Library,2018-03-25T00:00:00Z,48
DOE Library,2018-03-26T00:00:00Z,1502
DOE Library,2018-03-27T00:00:00Z,1646
DOE Library,2018-03-28T00:00:00Z,1653
DOE Library,2018-03-29T00:00:00Z,1465
DOE Library,2018-03-30T00:00:00Z,60
DOE Library,2018-03-31T00:00:00Z,34
DOE Library,2018-04-01T00:00:00Z,46
DOE Library,2018-04-02T00:00:00Z,3804
DOE Library,2018-04-03T00:00:00Z,3786
DOE Library,2018-04-04T00:00:00Z,4024
DOE Library,2018-04-05T00:00:00Z,3916
DOE Library,2018-04-06T00:00:00Z,2523
